BRAND,PRODUCT,PROCESSOR,RAM,HDD,SSD,GRAPHIC_CARD,DISPLAY,OPERATING_SYSTEM,PRICE,IMAGE
Acer,Acer Predator 21 X GX21-71 Laptop (7th Gen Ci7/ 64GB/ 1TB 1TB SSD/ Win10 Home/ 16GB Graph),Intel Core i7 7th Gen,64GB,1TB,1TB,16 GB NVIDIA Graphics Card,21,Windows 10,700000,https://cdn1.smartprix.com/rx-iQJZ4Kekd-w103-h125/acer-predator-21-x-g.jpg
Acer,Acer Predator Triton 700 PT715-51 (NH.Q2LSI.002) Laptop (7th Gen Ci7/ 16GB/ 1TB/ Win10 Home/ 8GB Graph),Intel Core i7 7th Gen,16GB,NO,256GB,8 GB NVIDIA Graphics Card,15.6,Windows 10,300000,https://cdn1.smartprix.com/rx-iyRu0raJw-w103-h125/acer-predator-triton.jpg
Acer,Acer Predator Triton 900 Laptop (8th Gen Core i7/ 16GB/ 512GB SSD/ Win10/ 8GB Graph),Intel Core i7 8th Gen,16GB,NO,256GB,8 GB NVIDIA Graphics Card,17.3,Windows 10,300000,https://cdn1.smartprix.com/rx-i03FnxkQz-w103-h125/acer-predator-triton.jpg
Acer,Acer Predator G9-793 (NH.Q1TSI.003) Notebook (7th Gen Ci7/ 16GB/ 2TB 256GB SSD/ Win10/ 8GB Graph),Intel Core i7 7th Gen,16GB,NO,512GB,8 GB NVIDIA Graphics Card,17.3,Windows 10,190000,https://cdn1.smartprix.com/rx-ivQStJyZL-w103-h125/acer-predator-g9-793.jpg
Acer,Acer Predator Helios 700 Gaming Laptop (9th Gen Core i9/ 32GB/ 2TB/ Win10/ 8GB Graph),Intel Core i9 9th Gen,32GB,NO,2TB,8 GB NVIDIA Graphics Card,17.3,Windows 10,188000,https://cdn1.smartprix.com/rx-ibqrzzQad-w103-h125/acer-predator-helios.jpg
Acer,Acer Predator G9-793 (UN.Q1VSI.002) Notebook (7th Gen Ci7/ 16GB/ 2TB 256GB SSD/ Win10/ 8GB Graph),Intel Core i7 7th Gen,16GB,NO,512GB,8 GB  Graphics Card,17.3,Windows 10,187000,https://cdn1.smartprix.com/rx-ikFWaYUjM-w103-h125/acer-predator-g9-793.jpg
Acer,Acer Predator G9-792 (NH.Q0PSI.001) Notebook (6th Gen Ci7/ 16GB/ 1TB/ Win10/ 8GB Graph),Intel Core i7 6th Gen,16GB,NO,256GB,8 GB NVIDIA Graphics Card,17.3,Windows 10,180000,https://cdn1.smartprix.com/rx-i4HX8TEdA-w103-h125/acer-predator-g9-792.jpg
Acer,Acer Predator G9-591 (NX.Q0ASI.001) Notebook (6th Gen Ci7/ 16GB/ 1TB/ Win10/ 4GB Graph),Intel Core i7 6th Gen,16GB,NO,512GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,180000,https://cdn1.smartprix.com/rx-icLcVlkAM-w103-h125/acer-predator-g9-591.jpg
Acer,Acer Predator PH317-51-787B Laptop (7th Gen Ci7/ 16GB/ 1TB 25GB SSD/ Win10/ 6GB Graph),Intel Core i7 7th Gen,16GB,NO,512GB,6 GB NVIDIA Graphics Card,17.3,Windows 10,168000,https://cdn1.smartprix.com/rx-iJ0jQ1MUP-w103-h125/acer-predator-ph317.jpg
Acer,Acer Spin 5 SP513-52N-52PL (NX.GR7AA.012) Laptop (8th Gen Ci5/ 8GB/ 256GB SSD/ Win10 Home),Intel Core i5 8th Gen,8GB,1TB,NO,Intel UHD 620,13.3,Windows 10,168000,https://cdn1.smartprix.com/rx-iFRQia4BP-w103-h125/acer-spin-5-sp513-52.jpg
Acer,Acer Predator Triton 500 (NH.Q50SI.005) Gaming Laptop (9th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,512GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,166000,https://cdn1.smartprix.com/rx-i3BU6aP7N-w103-h125/acer-predator-triton.jpg
Acer,Acer Predator G9-593 (NH.Q1YSI.001) Notebook (7th Gen Ci7/ 16GB/ 1TB/ Win10/ 6GB Graph),Intel Core i7 7th Gen,16GB,500GB,20GB,6 GB  Graphics Card,15.6,Windows 10,153000,https://cdn1.smartprix.com/rx-iIFWpi0UR-w103-h125/acer-predator-g9-593.jpg
Acer,Acer Predator Helios PH517-51 (NH.Q3NSI.002) Gaming Laptop (8th Gen Ci7/ 16GB/ 1TB 256GB SSD/ Win10/ 8GB Graph),Intel Core i7 8th Gen,16GB,NO,512GB,8 GB NVIDIA Graphics Card,17.3,Windows 10,148000,https://cdn1.smartprix.com/rx-ieigHr5I8-w103-h125/acer-predator-helios.jpg
Acer,Acer Aspire Nitro VN7-591G-74LK (NX.MQLAA.003) Laptop (4th Gen Ci7/ 8GB/ 1TB/ Win10/ 2GB Graph),Intel Core i7 4710HQ 4th Gen,8GB,NO,256GB,2 GB  Graphics Card,15.6,Windows 10,142000,https://cdn1.smartprix.com/rx-iAEZZiU2E-w103-h125/acer-aspire-nitro-vn.jpg
Acer,Acer Helios PH317-53 (NH.Q5RSI.001) Laptop (9th Gen Core i7/ 16GB/ 2TB 256GB SSD/ Win10 Home/ 8GB Graph),Intel Core i7 9th Gen,16GB,2TB,1TB,8 GB NVIDIA Graphics Card,17.3,Windows 10,140000,https://cdn1.smartprix.com/rx-invf8gZb6-w103-h125/acer-helios-ph317-53.jpg
Acer,Acer Helios PH317-53 (NH.Q5QSI.001) Laptop (9th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win10 Home/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,1TB,6 GB NVIDIA Graphics Card,17.3,Windows 10,130000,https://cdn1.smartprix.com/rx-iWVJclHkF-w103-h125/acer-helios-ph317-53.jpg
Acer,Acer SW512-52-76FM (NT.LDSAA.004) Laptop (7th Gen Ci7/ 8GB/ 256GB SSD/ Win10 Home),Intel Core i7 7500U 7th Gen,8GB,1TB,NO,Intel HD 620,12,Windows 10,130000,https://cdn1.smartprix.com/rx-ioOzatdaF-w103-h125/acer-sw512-52-76fm-n.jpg
Acer,Acer G3-572 (NH.Q2CSI.001) Notebook (7th Gen Ci5/ 8GB/ 1TB 128GB SSD/ Win10 Home/ 4GB Graph),Intel Core i5 7th Gen,8GB,500GB,NO,4 GB NVIDIA Graphics Card,15.6,Windows 10,130000,https://cdn1.smartprix.com/rx-ix53bMn53-w103-h125/acer-g3-572-nh-q2csi.jpg
Acer,Acer Swift 3 SF315-41-R6J9 (NX.GV7AA.004) Laptop (AMD Ryzen 7/ 8GB/ 512GB SSD/ Win10),AMD Ryzen 7 2700U,8GB,500GB,NO,AMD Radeon Vega 10,15.6,Windows 10,129000,https://cdn1.smartprix.com/rx-i2lQByToW-w103-h125/acer-swift-3-sf315-4.jpg
Acer,Acer Swift 5 SF514-51-706K (NX.GLDAA.002) Laptop (7th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Intel Core i7 7th Gen,8GB,1TB,NO,Intel HD 620,14,Windows 10,121000,https://cdn1.smartprix.com/rx-iO4FYx04R-w103-h125/acer-swift-5-sf514-5.jpg
Acer,Acer Predator Helios 300 (UN.Q5PSI.007) Gaming Laptop (9th Gen Core i7/ 16GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,1TB,6 GB NVIDIA Graphics Card,17.3,Windows 10,120000,https://cdn1.smartprix.com/rx-iywkJG79c-w103-h125/acer-predator-helios.jpg
Acer,Acer Predator G9-593 (NH.Q1YSI.006) Notebook (7th Gen Ci7/ 16GB/ 1TB 128GB SSD/ Win10 Home/ 6GB Graph),Intel Core i7 7th Gen,16GB,NO,256GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,120000,https://cdn1.smartprix.com/rx-iFD0s4gCD-w103-h125/acer-predator-g9-593.jpg
Acer,Acer Helios PH315-52 NH.Q53SI.012 Gaming Laptop (9th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,512GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,120000,https://cdn1.smartprix.com/rx-i3JIFjIjW-w103-h125/acer-helios-ph315-52.jpg
Acer,Acer Spin 7 SP714-51 (NX.GKPSI.002) Laptop (7th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Intel Core i7 7th Gen,8GB,1TB,256GB,Intel Integrated HD615,14,Windows 10,120000,https://cdn1.smartprix.com/rx-iiauRmdrx-w103-h125/acer-spin-7-sp714-51.jpg
Acer,Acer Predator Helios 300 (NH.Q5PSI.006) Gaming Laptop (9th Gen Core i7/ 16GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,1TB,6 GB NVIDIA Graphics Card,17.3,Windows 10,115000,https://cdn1.smartprix.com/rx-ivp3X8Ky7-w103-h125/acer-predator-helios.jpg
Acer,Acer ConceptD 5 CN515-51 NX.C4JSI.001 Laptop (8th Gen Core i5/ 16GB/ 1TB SSD/ Win10 Home/ 4GB Graph),Intel Core i5 8th Gen,16GB,NO,128GB,4 GB AMD Graphics Card,15.6,Windows 10,115000,https://cdn1.smartprix.com/rx-i4ZhEgEpZ-w103-h125/acer-conceptd-5-cn51.jpg
